"SESBLOG_PLUGIN";"Advanced Blog Plugin"
"Please fill the red mark fields";"Please fill the red mark fields"
"Submitting Form ...";"Submitting Form ..."
"Edit Photo";"Edit Photo"
"Image Description";"Image Description"
"Photo Albums";"Photo Albums"
"View More";"View More"
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%s blog";"%s Blog";"%s Blogs"
"%s favourite";"%s favourite";"%s favourites"
"%s rating";"%s rating";"%s ratings"
"%s photo";"%s photo";"%s photos"
"Albums";"Albums"
"Blog Roles";"Blog Roles"
"Contact Information";"Contact Information"
"Below, you can add admins to your blog who all will be able to do anything on your blog as you do including editing, creating sub blog, etc.";"Below, you can add admins to your Blog who all will be able to do anything on your Blog as you do including editing, creating sub Blog, etc."
"Type Member Name";"Type Member Name"
"Add Another Member";"Add Another Member"
"Save Admin";"Add Admin"
"Admins";"Admins"
"Here, you can see a list of admins added by you for this Blog.";"Here, you can see a list of admins added by you for this Blog."
"Design 1";"Design 1"
"Design 2";"Design 2"
"Design 3";"Design 3"
"Design 4";"Design 4"
"View Blog";"View Blog"
"Delete Blog";"Delete Blog"
"FEATURED";"FEATURED"
"SPONSORED";"SPONSORED"
"VERIFIED";"VERIFIED"
"Location";"Location"
"Name";"Name"
"Enter a location";"Enter a location"
"Sesblogs";"SesBlogs"
"You have already uploaded the maximum number of entries allowed.";"You have already uploaded the maximum number of entries allowed."
"If you would like to upload a new entry, please <a href=""%1$s"">delete</a> an old one first.";"If you would like to upload a new entry, please <a href=""%1$s"">delete</a> an old one first."
"Twitter";"Twitter"
"Pinterest";"Pinterest"
"by";"by"
"Read More...";"Read More..."
"Edit Blog";"Edit Blog"
"Start Time";"Start Time"
"Blog Schedule date is in the past. Please enter an blog scheduled date greater than or equal to today\'s date.'";"Blog Schedule date is in the past. Please enter an Blog scheduled date greater than or equal to today\'s date.'"
"Edit Thumbnail";"Edit Thumbnail"
"Read More";"Read More"
"Share Review";"Share Review"
"Description";"Description"
"blogs found.";"Blogs found."
"blog found.";"Blog found."
"List View";"List View"
"Advanced List View";"Advanced List View"
"Grid View";"Grid View"
"Advanced Grid View";"Advanced Grid View"
"Super Advanced Grid View";"Super Advanced Grid View"
"Pinboard View";"Pinboard View"
" by ";" by "
"Nobody has posted a blog with that criteria.";"Nobody has posted a Blog with that criteria."
"Be the first to %1$spost%2$s one";"Be the first to %1$spost%2$s one"
"There are currently no %s";"There are currently no %s"
"%1$spost%2$s one!";"%1$spost%2$s one!"
"Post New Video";"Post New Video"
"Nobody has created a blog yet.";"Nobody has created a Blog yet."
"Category:";"Category:"
"click to rate";"click to rate"
"terrible";"terrible"
"poor";"poor"
"average";"average"
"very good";"very good"
"excellent";"excellent"
"Overall Rating";"Overall Rating"
"Share";"Share"
"Share This %s";"Share This %s"
"Private Message";"Private Message"
"Share on Site";"Share on Site"
"Quick Share on Site";"Quick Share on Site"
"Upload Cover Photo";"Upload Cover Photo"
"Take Photo";"Take Photo"
"Add Cover Photo";"Add Cover Photo"
"Change Cover Photo";"Change Cover Photo"
"Remove Cover Photo";"Remove Cover Photo"
"Added %1$s";"Added %1$s"
"Album Info";"Album Info"
"Discussion";"Discussion"
"Photos";"Photos"
"Options";"Options"
"Add More Photos";"Add More Photos"
"Edit Settings";"Edit Settings"
"By";"By"
"No description found.";"No description found."
"Click to Take Cover Photo";"Click to Take Cover Photo"
"Take Cover Photo""";"Take Cover Photo"""
"Select a cover photo";"Select a cover photo"
"No category found.";"No category found."
"Contact Email";"Contact Email"
"Contact Phone Number";"Contact Phone Number"
"Website URL";"Website URL"
"Facebook URL";"Facebook URL"
"Write a Review";"Write a Review"
"about";"about"
"Pros: ";"Pros: "
"Cons: ";"Cons: "
"Description: ";"Description: "
"Continue Reading";"Continue Reading"
"No review have been posted in this blog yet.";"No review have been posted in this Blog yet."
"Share it";"Share it"
"SHARE ON FACEBOOK";"SHARE ON FACEBOOK"
" SHARE ON TWITTER";" SHARE ON TWITTER"
" PIN THIS POST";" PIN THIS POST"
"Featured";"Featured"
"Verified";"Verified"
"For ";"For "
"Continue Reading »";"Continue Reading »"
"No review have been posted yet.";"No review have been posted yet."
"Nobody has created an blog yet.";"Nobody has created an Blog yet."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"Categories";"Categories"
"No blog in this  category.";"No Blog in this  category."
"Be the first to %1$spost%2$s one in this category!";"Be the first to %1$spost%2$s one in this category!"
"Claim New Blog";"Claim New Blog"
"Your Claim Requests";"Your Claim Requests"
"Blog Owner: <a href="""">admin</a>";"Blog Owner: <a href="""">admin</a>"
"Previous";"Previous"
"Next";"Next"
"Add Tag";"Add Tag"
"Type a tag or select a name from the list.";"Type a tag or select a name from the list."
"Open image in image viewer";"Open image in image viewer"
"Photo %1$s of %2$s";"Photo %1$s of %2$s"
"in %1$s";"in %1$s"
"Tagged";"Tagged"
"Make Profile Photo";"Make Profile Photo"
"Posted";"Posted"
"Add New Album";"Add New Album"
"%s album found";"%s album found";"%s albums found"
"Manage Photos";"Manage Photos"
"%s <span>photo</span>";"%s <span>photo</span>";"%s <span>photos</span>"
"Reviews";"Reviews"
"Summary";"Summary"
"For";"For"
"See All Tags";"See All Tags"
"Anything in here will be replaced on browsers that support the canvas element";"Anything in here will be replaced on browsers that support the canvas element"
"Total Blog:";"Total Blog:"
"<i>Posted by -</i>";"<i>Posted by -</i>"
"<i>on - </i>";"<i>on - </i>"
"<i>Filed in - </i>";"<i>Filed in - </i>"
"Create Sub Blog";"Create Sub Blog"
"Dashboard";"Dashboard"
"Delete This Blog";"Delete This Blog"
"Post Comment";"Post Comment"
"ITEM_TYPE_SESBLOG_ALBUM";"Blog Albums"
"ITEM_TYPE_SESBLOG_BLOG";"Blogs"
"ITEM_TYPE_SESBLOG_REVIEW";"Blog Reviews"
"ADMIN_ACTIVITY_TYPE_BLOG_NEW";"When a user (subject) posts a new Blog entry (object)."
"ADMIN_ACTIVITY_TYPE_COMMENT_BLOG";"When a user (subject) comments on another user's (object) Blog entries."
"_ACTIVITY_ACTIONTYPE_BLOG_NEW";"New Blog entries"
"_ACTIVITY_ACTIONTYPE_COMMENT_BLOG";"Comments on your Blog"
"ACTIVITY_TYPE_COMMENTED_BLOG";"When someone comments on a Blog I commented on."
"ACTIVITY_TYPE_COMMENT_BLOG";"When someone comments on one of my Blog entries."
